rank,uni,library,gmaps_rating_original,gmaps_rating_count,opening_hours,qs_rank,gmaps_rating
237,Iran University of Science and Technology,Iran University of Science and Technology (IUST),4.2,284.0,0.54,541,3.6
237,Okayama University,Okayama University Central Library,3.9,19.0,0.54,581,3.5
237,Universidad Mayor de San Simón Cochabamba,Universidad Mayor de San Simon,4.2,1291.0,0.54,?,3.5
237,Vrije Universiteit Amsterdam,Vu Pride Library,,,0.54,209,
260,Purdue University,Purdue University Libraries and School of Information,4.9,27.0,0.53,116,4.7
260,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University Library,4.7,296.0,0.53,268,4.6
260,University of Texas El Paso,University Library,4.7,90.0,0.53,1001,4.5
260,Seattle University,Lemieux Library and McGoldrick Learning Commons,5.0,9.0,0.53,801,4.5
260,Anna University,Anna University Central Library,4.6,119.0,0.53,801,4.4
260,Universidad Torcuato Di Tella,Torcuato Di Tella University,4.6,401.0,0.53,751,4.4
260,National Taipei University of Technology,National Taipei University of Technology Library,4.6,133.0,0.53,469,4.4
260,Yildiz Technical University,Yıldız Teknik Üniversitesi Şevket Sabancı Kütüphanesi,4.6,27.0,0.53,1201,4.3
260,Sophia University,Sophia University Central Library,4.6,10.0,0.53,801,4.3
260,University of Arkansas Fayetteville,David W. Mullins Library,4.6,43.0,0.53,1001,4.3
260,Rikkyo University,Rikkyō University Ikebukuro Library,4.5,25.0,0.53,1001,4.2
260,University of Nebraska - Lincoln,University of Nebraska-Lincoln Libraries,4.4,21.0,0.53,571,4.1
260,Radboud University,Central Library,4.4,60.0,0.53,220,4.0
260,Wayne State University,David Adamany Undergraduate Library,4.3,38.0,0.53,511,3.9
260,Niigata University,Niigata University Library of Medical and Dental Library,3.2,10.0,0.53,541,3.2
260,Technische Universität Berlin (TU Berlin),Technical University of Berlin University Library,3.3,271.0,0.53,159,1.7
276,Russian-Armenian (Slavonic) State University,Russian-Armenian University,4.8,116.0,0.52,?,4.8
276,"University of California, Berkeley (UCB)",Doe Library,4.8,41.0,0.52,32,4.6
276,National Central University,National Central University Library,4.6,152.0,0.52,521,4.4
276,Western Michigan University,Waldo Library,4.6,37.0,0.52,1001,4.3
276,University of Cyprus (UCY),Βιβλιοθήκη Πανεπιστημίου Κύπρου | University of Cyprus Library,4.6,48.0,0.52,440,4.3
276,McMaster University,McMaster University Library,4.5,22.0,0.52,140,4.2
276,Universidad del Magdalena,German Bula Meyer Library,4.4,21.0,0.52,?,4.1
276,Universität Jena,Thuringian University and State Library,4.4,84.0,0.52,344,4.0
276,University of Hohenheim,Central Library,4.3,22.0,0.52,601,4.0
276,"University of California, Los Angeles (UCLA)",UCLA Science and Engineering Library,4.0,10.0,0.52,40,3.8
276,Nagasaki University,Central Library,3.8,6.0,0.52,531,3.8
276,Kindai University (Kinki University),Kindai University Central Library,4.0,15.0,0.52,1201,3.7
276,Universität Bremen,State and University Library Bremen,4.2,111.0,0.52,571,3.6
276,University of Westminster,University of Westminster,4.1,187.0,0.52,701,3.4
276,Universidad del Rosario,CRAI-Universidad del Rosario,,,0.52,751,
291,Universidad del Norte,Biblioteca Karl C. Parrish Jr.,4.9,55.0,0.51,1001,4.8
291,The Chinese University of Hong Kong (CUHK),The Chinese University of Hong Kong University Library,4.7,102.0,0.51,39,4.6
291,National Dong Hwa University,National Dong Hwa University Library,4.7,122.0,0.51,1001,4.6
291,ETH Zurich - Swiss Federal Institute of Technology,ETH Library infoCenter,4.8,43.0,0.51,8,4.6
291,University of Louisville,Ekstrom Library,4.7,56.0,0.51,?,4.5
291,National Chung Hsing University,National Chung Hsing University Library,4.6,371.0,0.51,651,4.4
291,University of Greenwich,"University of Greenwich, Stockwell Street Library",4.6,121.0,0.51,751,4.4
291,University of Strathclyde,Andersonian Library,4.6,74.0,0.51,302,4.4
291,National Tsing Hua University,National Tsing Hua University Library,4.6,422.0,0.51,180,4.4
291,University of Dhaka,Dhaka University Library,4.6,686.0,0.51,801,4.4
291,University of Portsmouth,University Library,4.6,164.0,0.51,651,4.4
